Lat,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Lon,Province/State,Country/Region,Last Update,date
NA,103,0,0,103,99999,NA,NA,NA,0,84099999,USA,NA,NA,NA,Grand Princess,US,2020-04-13T23:07:54Z,2020-04-13
13.4443,133,5,58,128,66,80.9844789897034,905,12,3.7593984962406015,316,GUM,551.0598006442224,9.022556390977444,144.7937,Guam,US,2020-04-13T23:07:54Z,2020-04-13
21.0943,504,9,310,495,15,35.598600353443246,18844,44,1.7857142857142858,84000015,USA,1330.9921132148502,8.73015873015873,-157.4983,Hawaii,US,2020-04-13T23:07:54Z,2020-04-13
44.2405,1426,27,NA,1399,16,88.54409539415472,14881,132,1.8934081346423561,84000016,USA,924.0004793551308,9.256661991584853,-114.4788,Idaho,US,2020-04-13T23:07:54Z,2020-04-13
40.3495,22025,798,NA,21227,17,187.67596485683413,105768,3680,3.623155505107832,84000017,USA,901.2536413610729,16.708286038592508,-88.9861,Illinois,US,2020-04-13T23:07:54Z,2020-04-13
39.8494,8359,350,NA,8009,18,127.7354471902022,44539,NA,4.187103720540734,84000018,USA,680.6088147391333,NA,-86.2583,Indiana,US,2020-04-13T23:07:54Z,2020-04-13
42.0115,1710,41,741,1669,19,65.249418765046,18696,142,2.3976608187134505,84000019,USA,713.3936451645029,8.304093567251462,-93.2105,Iowa,US,2020-04-13T23:07:54Z,2020-04-13
38.5266,1390,62,NA,1328,20,57.00253599771662,13864,309,4.460431654676259,84000020,USA,568.549035303844,22.230215827338128,-96.7265,Kansas,US,2020-04-13T23:07:54Z,2020-04-13
37.6681,2018,113,607,1905,21,58.948915710937655,25866,667,5.599603567888999,84000021,USA,755.5860524177965,33.052527254707634,-84.6701,Kentucky,US,2020-04-13T23:07:54Z,2020-04-13
31.1695,21016,884,NA,20132,22,457.1412661351334,108091,2134,4.206318995051389,84000022,USA,2351.20177949242,10.154168252759803,-91.8678,Louisiana,US,2020-04-13T23:07:54Z,2020-04-13
44.6939,698,19,273,679,23,59.45455133960133,12306,124,2.7220630372492836,84000023,USA,1048.2058865116533,17.76504297994269,-69.3819,Maine,US,2020-04-13T23:07:54Z,2020-04-13
39.0639,8936,262,603,8674,24,150.3532949093396,51751,1975,2.9319606087735006,84000024,USA,870.7400811160737,22.10161145926589,-76.8021,Maryland,US,2020-04-13T23:07:54Z,2020-04-13
42.2302,26867,844,NA,26023,25,391.4319997808785,122049,2340,3.1414002307663678,84000025,USA,1778.1622116818567,8.709569360181636,-71.5301,Massachusetts,US,2020-04-13T23:07:54Z,2020-04-13
43.3266,25635,1602,447,24033,26,321.7543197729608,82644,3986,6.249268578115857,84000026,USA,1037.2952605155676,15.549054027696508,-84.5361,Michigan,US,2020-04-13T23:07:54Z,2020-04-13
45.6945,1621,70,842,1551,27,32.771003666066505,38427,361,4.318322023442319,84000027,USA,776.8608006637493,22.27020357803825,-93.9002,Minnesota,US,2020-04-13T23:07:54Z,2020-04-13
32.7416,2942,98,NA,2844,28,101.61625804865008,30984,549,3.3310673011556764,84000028,USA,1070.1829161724588,18.66077498300476,-89.6787,Mississippi,US,2020-04-13T23:07:54Z,2020-04-13
38.4561,4515,123,NA,4392,29,77.05493479258142,45428,988,2.7242524916943522,84000029,USA,775.2938156716255,21.882613510520486,-92.2884,Missouri,US,2020-04-13T23:07:54Z,2020-04-13
46.9219,394,7,171,387,30,45.49721878042049,9098,47,1.7766497461928934,84000030,USA,1050.5931382341766,11.928934010152284,-110.4544,Montana,US,2020-04-13T23:07:54Z,2020-04-13
41.1254,814,17,NA,797,31,53.36753051259054,10972,NA,2.0884520884520885,84000031,USA,719.3471066144268,NA,-98.2681,Nebraska,US,2020-04-13T23:07:54Z,2020-04-13
38.3135,2990,114,NA,2876,32,99.11502547322452,25464,NA,3.8127090301003346,84000032,USA,844.1020095820031,NA,-117.0554,Nevada,US,2020-04-13T23:07:54Z,2020-04-13
43.4525,985,23,239,962,33,74.16342154639392,11207,152,2.33502538071066,84000033,USA,843.8065637263317,15.431472081218274,-71.5639,New Hampshire,US,2020-04-13T23:07:54Z,2020-04-13
