ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Greenland,2020-04-12T00:00:00.000Z,11,0,648039,-41.39096667,74.71895353,Greenland,"格陵兰岛
",,,,
India,2020-04-12T00:00:00.000Z,8356,273,648040,79.6188183,22.88132057,India,印度,Inde,India,Индия,الهند
Indonesia,2020-04-12T00:00:00.000Z,4241,373,648041,117.3110169,-2.22903453,Indonesia,印度尼西亚,Indonésie,Indonesia,Индонезия,إندونيسيا
Thailand,2020-04-12T00:00:00.000Z,2551,38,648042,101.0149078,15.11989876,Thailand,泰国,Thaïlande,Tailandia,Таиланд,تايلند
Bangladesh,2020-04-12T00:00:00.000Z,621,34,648043,90.27092576,23.8330072,Bangladesh,孟加拉国,Bangladesh,Bangladesh,Бангладеш,بنغلاديش
Sri Lanka,2020-04-12T00:00:00.000Z,199,7,648044,80.70426262,7.61236243,Sri Lanka,斯里兰卡,Sri Lanka,Sri Lanka,Шри-Ланка,سري لانكا
Myanmar,2020-04-12T00:00:00.000Z,38,3,648045,96.50868206,21.14009536,Myanmar,缅甸,Myanmar,Myanmar,Мьянма,ميانمار
Maldives,2020-04-12T00:00:00.000Z,20,0,648046,73.25178478,3.37481932,Maldives,马尔代夫,Maldives,Maldivas,Мальдивские Острова,ملديف
Nepal,2020-04-12T00:00:00.000Z,12,0,648047,83.93851707,28.25300785,Nepal,尼泊尔,Népal,Nepal,Непал,نيبال
Bhutan,2020-04-12T00:00:00.000Z,5,0,648048,90.42943275,27.41546082,Bhutan,不丹,Bhoutan,Bhután,Бутан,بوتان
Timor-Leste,2020-04-12T00:00:00.000Z,2,0,648049,125.8609961,-8.82052123,Timor-Leste,东帝汶,Timor-Leste,Timor-Leste,Тимор-Лешти,تيمور- ليشتي
Iran (Islamic Republic of),2020-04-12T00:00:00.000Z,71686,4474,648050,54.30141376,32.56479959,Iran (Islamic Republic of),伊朗（伊斯兰共和国）,Iran (République islamique d'),Irán (República Islámica del),Иран (Исламская Республика),إيران (جمهورية - الإسلامية)
Pakistan,2020-04-12T00:00:00.000Z,5374,93,648051,69.38581881,29.96678898,Pakistan,巴基斯坦,Pakistan,Pakistán,Пакистан,باكستان
Saudi Arabia,2020-04-12T00:00:00.000Z,4462,59,648052,44.57044965,24.08088192,Saudi Arabia,沙特阿拉伯,Arabie saoudite,Arabia Saudita,Саудовская Аравия,المملكة العربية السعودية
United Arab Emirates,2020-04-12T00:00:00.000Z,4123,22,648053,54.33219878,23.91267254,United Arab Emirates,阿拉伯联合酋长国,Émirats arabes unis,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,الإمارات العربية المتحدة
Qatar,2020-04-12T00:00:00.000Z,2979,7,648054,51.19120083,25.31580997,Qatar,卡塔尔,Qatar,Qatar,Катар,قطر
Egypt,2020-04-12T00:00:00.000Z,2065,159,648055,29.78210708,26.5565646,Egypt,埃及,Égypte,Egipto,Египет,مصر
Morocco,2020-04-12T00:00:00.000Z,1661,118,648056,-6.31780295,31.88355697,Morocco,摩洛哥,Maroc,Marruecos,Марокко,المغرب
Iraq,2020-04-12T00:00:00.000Z,1352,76,648057,43.77224552,33.04800654,Iraq,伊拉克,Iraq,Iraq,Ирак,العراق
Kuwait,2020-04-12T00:00:00.000Z,1234,1,648058,47.59355128,29.34250906,Kuwait,科威特,Koweït,Kuwait,Кувейт,الكويت
Bahrain,2020-04-12T00:00:00.000Z,1136,6,648059,50.56248915,26.01947392,Bahrain,巴林,Bahreïn,Bahrein,Бахрейн,البحرين
Oman,2020-04-12T00:00:00.000Z,727,4,648060,56.10981747,20.60208368,Oman,阿曼,Oman,Omán,Оман,عمان
Tunisia,2020-04-12T00:00:00.000Z,707,31,648061,9.56156142,34.11124917,Tunisia,突尼斯,Tunisie,Túnez,Тунис,تونس
Lebanon,2020-04-12T00:00:00.000Z,630,20,648062,35.88806123,33.92039304,Lebanon,黎巴嫩,Liban,Líbano,Ливан,لبنان
Afghanistan,2020-04-12T00:00:00.000Z,607,19,648063,66.02652977,33.83890116,Afghanistan,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
Jordan,2020-04-12T00:00:00.000Z,389,7,648064,36.78694114,31.25338179,Jordan,约旦,Jordanie,Jordania,Иордания,الأردن
Djibouti,2020-04-12T00:00:00.000Z,215,2,648065,42.5779403,11.7498128,Djibouti,吉布提,Djibouti,Djibouti,Джибути,جيبوتي
Somalia,2020-04-12T00:00:00.000Z,27,2,648066,45.86255927,6.0637135,Somalia,索马里,Somalie,Somalia,Сомали,الصومال
Libya,2020-04-12T00:00:00.000Z,25,1,648067,18.02318627,27.04404524,Libya,利比亚,Libye,Libia,Ливия,ليبيا
Syrian Arab Republic,2020-04-12T00:00:00.000Z,25,2,648068,38.50584744,35.01307272,Syrian Arab Republic,阿拉伯叙利亚共和国,République arabe syrienne,República Árabe Siria,Сирийская Арабская Республика,الجمهورية العربية السورية
Sudan,2020-04-12T00:00:00.000Z,19,2,648069,30.00438135,16.04883821,Sudan,苏丹,Soudan,Sudán,Судан,السودان
Yemen,2020-04-12T00:00:00.000Z,1,0,648070,47.58223641,15.8386485,Yemen,也门,Yémen,Yemen,Йемен,اليمن
occupied Palestinian territory,2020-04-12T00:00:00.000Z,271,2,648071,35.20376878,31.91395114,occupied Palestinian territory,"巴勒斯坦被占领土
",,,,
United States of America,2020-04-12T00:00:00.000Z,524514,20444,648072,-112.4935645,45.6954816,United States of America,美利坚合众国,États-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,الولايات المتحدة الأمريكية 
Canada,2020-04-12T00:00:00.000Z,23702,674,648073,-98.26094698,61.3930667,Canada,加拿大,Canada,Canadá,Канада,كندا
Brazil,2020-04-12T00:00:00.000Z,20727,1124,648074,-53.08875436,-10.7722828,Brazil,巴西,Brésil,Brasil,Бразилия,البرازيل
Ecuador,2020-04-12T00:00:00.000Z,7466,333,648075,-78.78096177,-1.42528337,Ecuador,厄瓜多尔,Équateur,Ecuador,Эквадор,إكوادور
